vin,make,model,year,trim,style,odometer,,,,,,,,,,,,,,,,,,,,,,
KNDPCCA24C7175743,Kia,Sportage,2012,EX,AWD EX 4dr SUV,47185,,,,,,,,,,,,,,,,,,,,,,
3GCPCSEC0EG105595,Chevrolet,Silverado 1500,2014,LTZ,LTZ 4dr Crew Cab,34482,,,,,,,,,,,,,,,,,,,,,,
1GNSCCKC6FR555877,Chevrolet,Tahoe,2015,LTZ,4x2 LTZ 4dr SUV,46021,,,,,,,,,,,,,,,,,,,,,,
1ZVBP8AM5E5303884,Ford,Mustang,2014,V6,V6 2dr Coupe,16356,,,,,,,,,,,,,,,,,,,,,,
5J6RE38709L021707,Honda,CR-V,2009,EX-L,EX-L 4dr SUV,53198,,,,,,,,,,,,,,,,,,,,,,
KL4CJASB2GB542353,Buick,Encore,2016,Base,Base 4dr Crossover,1333,,,,,,,,,,,,,,,,,,,,,,
WDDGF7HB4DA872859,Mercedes-Benz,C-Class,2013,C63 AMG,C63 AMG 4dr Sedan,40677,,,,,,,,,,,,,,,,,,,,,,
WAUBGAFLXEA010108,Audi,S4,2014,3.0T quattro Premium Plus,AWD 3.0T quattro Premium Plus 4dr Sedan 7A,35593,,,,,,,,,,,,,,,,,,,,,,
1FT8W3BT0DEB51097,Ford,F-350 Super Duty,2013,Lariat,Lariat 4dr Crew Cab 4WD,55119,,,,,,,,,,,,,,,,,,,,,,
WBA5A5C59GD528269,BMW,5 Series,2016,528i,528i 4dr Sedan,18848,,,,,,,,,,,,,,,,,,,,,,
WBAUC9C59BVM09279,BMW,1 Series,2011,135i,135i 2dr Coupe,51202,,,,,,,,,,,,,,,,,,,,,,
1C4BJWEG4GL118785,Jeep,Wrangler Unlimited,2016,Sahara,4x4 Sahara 4dr SUV,8693,,,,,,,,,,,,,,,,,,,,,,
JM1NC2MF4F0239535,Mazda,MX-5 Miata,2015,Club,Club 2dr Convertible 6A w/Power Hard Top,7323,,,,,,,,,,,,,,,,,,,,,,
1GC1KWEG0FF634308,Chevrolet,Silverado 2500HD,2015,LTZ,LTZ 4dr Crew Cab 4WD,14521,,,,,,,,,,,,,,,,,,,,,,
JM1BL1UG3C1509477,Mazda,Mazda3,2012,i Sport,i Sport 4dr Sedan,38710,,,,,,,,,,,,,,,,,,,,,,
3GCPCSEC1EG329801,Chevrolet,Silverado 1500,2014,LTZ,LTZ 4dr Crew Cab,36083,,,,,,,,,,,,,,,,,,,,,,
5TDYK3DC4GS692760,Toyota,Sienna,2016,,XLE 4dr Mini-Van,14504,,,,,,,,,,,,,,,,,,,,,,
5N1AR2MM3GC637889,Nissan,Pathfinder,2016,S,4x4 S 4dr SUV,7519,,,,,,,,,,,,,,,,,,,,,,
2FMDK3GC8EBA50045,Ford,Edge,2014,SE,SE 4dr SUV,41822,,,,,,,,,,,,,,,,,,,,,,
JTHBE1BL1E5037784,Lexus,GS 350,2014,Base,4dr Sedan,24950,,,,,,,,,,,,,,,,,,,,,,
1C6RR6PT6ES413219,Ram,Ram Pickup 1500,2014,Laramie Longhorn,4x2 Laramie Longhorn 4dr Crew Cab 5.5 ft. SB Pickup,21933,,,,,,,,,,,,,,,,,,,,,,
1GTV2VEC6EZ100414,GMC,Sierra 1500,2014,SLT,4x4 SLT 4dr Double Cab 6.5 ft. SB,22711,,,,,,,,,,,,,,,,,,,,,,
5TDYK3DC4GS716409,Toyota,Sienna,2016,XLE 8-Passenger,XLE 8-Passenger 4dr Mini-Van,16548,,,,,,,,,,,,,,,,,,,,,,
1HGCR2F33DA023712,Honda,Accord,2013,LX,LX 4dr Sedan CVT,59426,,,,,,,,,,,,,,,,,,,,,,
1GKS1CKJ4FR289499,GMC,Yukon,2015,Denali,4x2 Denali 4dr SUV,32415,,,,,,,,,,,,,,,,,,,,,,
